"Isolate","Pool","Origin","Geographic Origin"
"ESP035","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP036","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP037","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP038","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP039","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP040","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP043","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP044","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP046","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP047","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP048","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"F1697","clin_iso_SQ_pool22","University hospital Frankfurt","Frankfurt"
"F1712","clin_iso_SQ_pool22","University hospital Frankfurt","Frankfurt"
"ESP050","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP053","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP054","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"ESP055","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"ESP057","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"ESP060","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
"ESP061","clin_iso_SQ_pool23","University hospital Palma de Mallorca, Spain"
